Manuel Drayton,3399761158,65
Carolyn Schneider,5406622382,43
Toni Hemrich,5885424089,41
Lonnie Goodsite,6899104331,100
Clint Beuth,1075645016,92
Sonja Rutherford,8140603432,31
Louis Tipton,4544496318,54
Myra Hall,6320250986,31
Jewel Combest,5558618206,16
Nicole Stewart,2718595938,85
Desiree Perkins,2666173033,86
Janette Hood,4114827730,59
Charles Boggess,7633889885,96
Tim Krantz,4565748370,6
Otis Bose,8562382853,93
Erin Baldwin,6429534310,3
Jacqueline Young,8087661147,34
Henry Banks,4695495581,68
Gerald Lorenz,4016849908,39
Darby Crosier,5119642089,29
Spencer Ruiz,7004670027,51
Sandra Whitehead,8648786034,95
Flossie Whitten,2067736932,100
Demetrius Isley,1853417704,14
Wallace Haward,8603149142,26
Josie Giesen,5016250565,65
Kayla Bennett,1917254653,37
Boris Reece,4389208676,84
Quiana Martin,3196093181,81
Esther Amos,6082038727,92
Marguerite Buman,9645033748,14
Allison Geren,9422090534,32
Maria Pratt,1330696444,30
Fred Robbins,8549405114,43
Fred Robbins,8549405114,2
Dalton Glover,9621557320,70
Shantay Salazar,6977198474,69
Rosetta Rollins,3732785435,91
Noah Henke,4721361128,25
Maggie Desoto,7865901565,12
Roseann Herda,1115386334,56
Florence Edelstein,5782238180,80
Arlene Auclair,9137167282,65
Shawna Herman,2420240742,69
Edwin Isbell,6700359745,75
Joan From,7437603547,86
Shawn Stroud,9318359875,95
Carmelo Lambert,9569171829,53
Anne Villanueva,4740197027,48
Sean Miller,4729467587,87
Antonio Matthews,5268390352,65
Glenda Pearson,7132662497,16
Myra Hall,6320250986,38
Nellie Ross,6797536050,30
Dorothy Newberg,8689369838,39
Richard Aguilar,5625762287,11
Ethel Mariska,8890124918,76
Frederick Tapia,2642616590,90
Velma Gibbs,4793614622,13
Andre Newton,8300562844,10
Bruno Garcia,2798311760,18
Gladys Degroot,5180056530,19
Kelly Rodriguez,5122814722,14
Nellie Ross,6797536050,86
Josie Giesen,5016250565,61
Raymond Coffman,1725453250,75
Sara Troutman,4799326905,23
Frances Morton,7750257019,40
Dixie Clarke,2997387968,90
Maureen Granger,2489225305,41
Austin Fleming,6994794922,37
Dorthy Charpentier,2879818089,18
Jose Goldblatt,5938999454,86
Kory Snider,4812093955,73
Katheryn Rosenbeck,4267153540,68
Jason Craine,5184839973,83
Sherry Devore,1822830918,31
Mike Murray,8110082249,36
William Caplan,4928023109,69
Suzan Willis,6732534334,64
Raymond Coffman,1725453250,17
Rickey Crist,9726409394,74
Renee Sinnott,3490660410,4
Benjamin Franco,2554138698,1
Kathleen Mccoy,8921815652,82
Marie Currier,8450433453,11
Lanny Goods,9650219467,31
John Bradshaw,6082423438,52
Evelyn Juett,4590975145,10
Rona Norris,6614229489,10
Jaime Slate,6115072575,36
Gene Connor,8988864945,94
Julie Medez,7427679239,53
Noelia Lark,3921972087,58
Ramon Ware,6021646386,2
Johnny Thornhill,7527248626,6
Muriel Tarvis,8340912800,100
Vickie Brundidge,4503599396,59
Elizabeth Anderson,2745764348,90
Frances Morton,7750257019,50
